iter	Passed	Remaining
0	0	83
1	1	80
2	2	75
3	2	68
4	3	66
5	4	66
6	4	64
7	5	61
8	5	59
9	6	58
10	7	57
11	7	55
12	8	55
13	8	54
14	9	53
15	10	52
16	10	51
17	11	51
18	11	50
19	12	49
20	13	49
21	13	48
22	14	47
23	14	45
24	15	46
25	16	45
26	16	45
27	17	44
28	18	44
29	18	43
30	19	42
31	19	41
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	28
52	32	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	41	17
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	46	14
76	46	13
77	47	13
78	47	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	56	4
93	56	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
